Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
1999,6,0,National,3,45,Duke,Purdue,62,1
2000,1,1,East,1,116,Connecticut,Hampton,45,16
2000,1,1,East,8,50,Drake,Clemson,64,9
2000,1,1,East,5,86,Oklahoma,BYU,81,12
2000,1,1,East,4,70,Purdue,Dartmouth,66,13
2000,1,1,East,6,72,Xavier,Stephen F Austin,73,11
2000,1,1,East,3,77,LSU,Liberty,54,14
2000,1,1,East,7,65,Marquette,Western Kentucky,68,10
2000,1,1,East,2,71,Duke,Campbell,42,15
2000,2,1,East,1,83,Connecticut,Clemson,45,9
2000,2,1,East,5,76,Oklahoma,Purdue,74,4
2000,2,1,East,11,45,Stephen F Austin,LSU,57,3
2000,2,1,East,10,70,Western Kentucky,Duke,90,2
2000,3,1,East,1,102,Connecticut,Oklahoma,80,5
2000,3,1,East,3,79,LSU,Duke,66,2
2000,4,1,East,1,86,Connecticut,LSU,71,3
2000,1,2,Mideast,1,90,Tennessee,Furman,38,16
2000,1,2,Mideast,8,73,Arizona,Kent St,61,9
2000,1,2,Mideast,5,93,Boston College,Nebraska,76,12
2000,1,2,Mideast,4,74,Virginia,Pepperdine,62,13
2000,1,2,Mideast,6,65,Tulane,Vermont,60,11
2000,1,2,Mideast,3,83,Texas Tech,Tennessee Tech,54,14
2000,1,2,Mideast,7,79,George Washington,UCLA,72,10
2000,1,2,Mideast,2,87,Notre Dame,San Diego,61,15
2000,2,2,Mideast,1,75,Tennessee,Arizona,60,8
2000,2,2,Mideast,5,70,Boston College,Virginia,74,4
2000,2,2,Mideast,6,59,Tulane,Texas Tech,76,3
2000,2,2,Mideast,7,60,George Washington,Notre Dame,95,2
2000,3,2,Mideast,1,77,Tennessee,Virginia,56,4
2000,3,2,Mideast,3,69,Texas Tech,Notre Dame,65,2
2000,4,2,Mideast,1,57,Tennessee,Texas Tech,44,3
2000,1,3,Midwest,1,95,Louisiana Tech,Alcorn St,53,16
2000,1,3,Midwest,8,69,Kansas,Vanderbilt,71,9
2000,1,3,Midwest,5,63,NC State,SMU,64,12
2000,1,3,Midwest,4,94,Old Dominion,Wisconsin Green Bay,85,13
2000,1,3,Midwest,6,73,Illinois,Utah,58,11
2000,1,3,Midwest,3,92,Iowa St,St Francis,63,14
2000,1,3,Midwest,7,78,Auburn,Southwest Missouri St,74,10
2000,1,3,Midwest,2,83,Penn St,Youngstown State,63,15
